股票代號,股票名稱,2020股利,2019股利,2018股利,2017股利,2016股利,2015股利
4105,東洋,4,4,4.5,4.5,3.8,
6023,元大期,2.8,3.2,2.8,2,2.47,
5371,中光電,4,2,3.5,3,3.5,
3450,聯鈞,1.4,1,3,4,8.5,
4706,大恭,0.8,0.6,1,1.1,1.3,
9136,巨騰-DR,0.3562,0.3834,0.392,0.3008,0.3856,
8923,時報,0.85,0.85,0.85,0.9,0.9,
2729,瓦城,14.5,10,13.6,12.6,11.6,
4401,東隆興,1,1.2,2,3,3.6,
1268,漢來美食,7,7,6.96526216,6.87412545,5.97811579,5
3426,台興,2,2,2.5,3,2.5,
5353,台林,0.85,1.35,1.12,0.6,0.40310276,
6184,大豐電,3,3,2.5,2.5,0.5,
2359,所羅門,0.5,0.8,1.1,1,1,
6508,惠光,1.6,1.8,1.5,1.45,1.5,
4973,廣穎,1,1.2,1.2,1,1.80023863,
1733,五鼎,1.1,1.10634249,0.84779325,1.50054167,1.5,
2355,敬鵬,0.5,1,0.5,2.25,3.2,
1307,三芳,0.5,0.8,0.5,1.7,2.2,
1436,福益,2,2.5,4,3,1,
2849,安泰銀,0.73,0.73,1,0.6,0.6,
2471,資通,1.5,1.42455689,1.2,1,1.34011591,
4747,強生,1.92,1.8,1.65,1.8,1.9,
4562,穎漢,0,0,1.5,2,1.5,1
5508,永信建,3.3406,1.801,2.86031,2.722,1.807,
3628,盈正,1,1,1.5,2.5,3,
3118,進階,1.6,1.3,1,1.9,1.9,
3390,旭軟,0.2,0.5,1.1,1,1,
3537,堡達,2.5,2.5,2.4,1.8,1.2,
5493,三聯,2,2.53406253,1.74999999,1.6,2,
6185,幃翔,0.2,0.5,0.7,1,1.7,
1709,和益,1.2,0.5,0.497241071,1.49573972,1.881836005,
6123,上奇,3.97707912,2.97707912,1,3.6,2.6,
3332,幸康,1,0.8,2.2,3,2,
6569,醫揚,6.5,8.5,7.5,6.5,8,
3432,台端,0.25,0.3,0.5,2,0.1,
5213,亞昕,2,0,2,0.97051739,0.5,
4163,鐿鈦,3.5,7,4.5,2.3,6,
5489,彩富,1,1.52910901,2,1.5,1.8,
1465,偉全,0.3,1.5,0.3,0.4,0.65,
8083,瑞穎,10,9,8.8,8.50000001,8.50000001,
4542,科嶠,1,1.2,1.2,1.8,0,
6803,崑鼎,11.00000592,10.83,10.82,9.64624522,11.33659144,
8432,東生華,1.8,1.8,1.6,2.1,3.1,
1233,天仁,0.8,1.6,1.9,2.25,1.6,
5425,台半,1.5,1.5,3,2.98143738,2.5,
4711,永純,0.8,0.6,0.5,1.2,1.4,
1604,聲寶,2.5,1.5,1.4,0.2,1.4,
1259,安心,3,3.2,3,3.5,3,
2852,第一產,0.35,0.96,0.49,0.6,0.65,
6279,胡連,4,3.25,4,8,6,
6703,軒郁,7.25,8,9.265822785,,,
3611,鼎翰,10,10,11,10,10,
6147,頎邦,3.8,4.2,3.5,2.35,2.1,
4506,崇友,3,2.7,2.6,3.1,2.2,
2430,燦坤,1.55,1,0.9,1.36,2,
3689,湧德,1.3,0.5,1.2,2.3,1.6,
1611,中電,0.3,1.2,0.15,1,0,
4549,桓達,4.5,4,4.5,4,3.5,
8477,創業家,2.45,1.37,2.87904799,1.819999612,2.379614,
1452,宏益纖,0.7,1.2,1.4,1.4,1.2,
4907,富宇,1.2,1.2,1.5,1.5,0,
5403,中菲,4,3.09999999,3,3.4,3,
5604,中連貨,7.95,5.55,3.75,1.5,1.8,
6270,倍微,1.2,1.3,1,0.97,0.5,
8401,白紗科,0.66620387,0.5005605,0.84516457,1.27793118,0.3992568,
3360,尚立,1,0.601,0.4,0.4,1.2,
8928,鉅明,1.6,2,1.5,1.5,1.5,
1570,力肯,0.8,0.8,0.8,0.8,0.5,
2912,統一超,9,9,8.8,25,8,
6624,萬年清,0,2,2.22,2.25,0.55,
4754,國碳科,2.1,3,3.5,2.6,2.6,
8155,博智,7,3.6,5.6,5.5,2.93,
1439,中和,0,5,0,0,0.5,
5206,坤悅,1.3,1.25,0.7,0.7,0.5,
3033,威健,1.34468073,0.5777067,1.6185712,1.66897504,1.0641739,
3570,大塚,5.2,5.5,3,1.28,3,
4126,太醫,4.2,4.99746458,3.2,2.5,2.5,
8255,朋程,2.30065386,4.5,5,6,6.5,
3206,志豐,2,2,1.8,1.2,1,
3265,台星科,1.229384,1.5,1.2,1.3,0.85,
6523,達爾膚,4,4,4,3.86,10.45,
1788,杏昌,7,5.998998,6,6,5,
6570,維田,1,2.5,1.8,1,1.5,2
2534,宏盛,1,0.5,0,4,1,
3563,牧德,12,9,3,10,27,
5209,新鼎,4,2.96990304,2.77665159,2.87712432,2.50597156,
6245,立端,3.3,2.80101364,2.8,2.2,3,
6462,神盾,15,9.00064957,8.09274157,4.28333322,0,
8996,高力,1.7,2,2,1,3,
2732,六角,3,8.45019484,4.38001097,4.435167653,4.91723185,
6180,橘子,4,3.1400981,6.2,0.49862342,0,
2739,寒舍,0,1,1,1,2.2,
8415,大國鋼,1.4,1.40849192,2.4,1,1,
3092,鴻碩,1.5,3.3,5.000000035,4.200000117,3,
3548,兆利,2.5,2.5,4.5,3.02145659,3.52503268,
4430,耀億,0.5,1.5,1.5,1,1,
4164,承業生,2.01,1.99670253,1.79388859,1.1,1.00442372,
6261,久元,4,3,3,4.1,3.1,
6282,康舒,1.2,1.1,1,0.9,1.40029167,
6615,慧智,1.4,2.6,2,2,2,
2890,永豐金,0.7,0.7,0.636,0.7,0.694,
5007,三星,2,2,3,3,2.5,
5515,建國,0.8,0.51942199,0.5,0.5,0.5,
6125,廣運,1.5,2,0.50579885,0.3,0.5,
4120,友華,1.5,1.8,1.8,2.5,1.8,
2640,大車隊,4.4,4.2,3.8,4,2.7,
6290,良維,3.5,3.55135998,1.49161,1.50298321,2.65298715,
9962,有益,0,0.2,0.9,0.65,0.6,
4528,江興,1.8,1.8,2.1,2.2,1.7,
1216,統一,2.7,2.5,2.5,5.5,2.1,
3546,宇峻,5.1805776,4.338736823,4.29999999,4.09999999,3.57703595,
3031,佰鴻,0.8,0.8233,0.52,0.85,0.8,
6227,茂綸,1.5,1,1.5,1.1,1,
4535,至興,0.7,1,1.15,2.15,2.25,
8930,青鋼,0.5,0.61002886,0.6,2.49999988,0.7,
1524,耿鼎,0.21,0.4,0.5,0.45,0.5,
3071,協禧,1.6,1.54562486,1.2,0.9,0,
4764,雙鍵,1,1.22176593,6,2.7,2.5,
8410,森田,2.5,1.5,1.75,1.65,1.5,
2340,光磊,1.39,0,0.5,1.35,1.19080212,
3114,好德,1.2,1.55,2.266282,1,0.5,
2883,開發金,0.55,0.6,0.3,0.6,0.5,
3454,晶睿,2,2.5,2.749999988,4.250000049,5.000000003,
4737,華廣,2,1.99251109,1.99812176,4.14,4.13754,
6435,大中,5,4.3,7.06625347,3.5,3,
6242,立康,2.8,2,2.5,2.5,1.3,
6568,宏觀,7,5.99570216,5.9043859,5,5,3
2509,全坤興,1.5,1.2,2.4,1.8,1.2,
2412,中華電,4.306,4.226,4.479,4.796,4.9419,
2484,希華,1,0.95,1.45,1,1.2,
3526,凡甲,9.58372215,5.34794274,5.2,2.53117975,4.8,
6609,瀧澤,0.8,1,2.2,1.2,0.6,
2845,遠東銀,0.517,0.743,0.715,0.71,0.65,
3015,全漢,3,1.54005085,1.25,1.5,1.5,
6248,沛波,1.2,2.2,0,0.7,0.8,
1752,南光,1.6,1.7,1.2,1.6,1.6,
3226,至寶電,3.5,3,3,2,2,
3646,艾恩特,0.92,0.85000063,0.99720083,1.00000023,0.99175656,
4175,杏一,2.85,3.6,2.93,2.6,3.2,
1777,生泰,4,3.5,3.3,1.75,3.5,
5530,龍巖,1.2,3,3,2.5,1.2,
2348,海悅,8,4.32974729,3.8,3.6,0,
2908,特力,1.07,0.70999999,1.30370452,1.2,1.08,
5533,皇鼎,0.6,0.5,0.7,0.7,0.65,
3205,佰研,0,0,0,1.605,4,
6219,富旺,2,1.1715077,0.65208208,0.51942562,0.63928261,
5439,高技,2.5,2.3,2.8,2,1.81390102,
3441,聯一光,0.5,2.1,1.5,1.5,1.2,
8421,旭源,0,0,0.59999998,0.3,1.18,
2104,中橡,0.1,0.2,2.8,2.8,2,
3607,谷崧,0,0,0.5,0.79999999,1.5,
5102,富強,0.7,0.6,0.8,1,0.7,
5230,雷笛克,0.6,0.63833388,1.2240212,1.8,1.7,
1707,葡萄王,6.4,6.5,6.5,6.67601019,6.4,
2374,佳能,0.5,0.3,0.5,0.8,0.90014811,
2882,國泰金,2.5,2,1.5,2.5,2,
6104,創惟,3,2,2.36,1.3,3,
6505,台塑化,0.59,2.9,4.8,6.3,6,
2065,世豐,2.96615817,2,0.96615817,4.66317422,2.7,
2903,遠東百,1.1,0.8,0.85,1,0.7,
5426,振發,0,0,1,0,1,
1722,台肥,2.3,2.2,2.2,2.1,2.1,
6588,東典光電,1.5,1.30759023,1,3.5,4,0.5
2897,王道銀行,0.2,0.40095327,0,0.3,0.45,
3211,順達,6.5,5,3.5,2.5,3,
3323,加百裕,2.5,1.03735714,2.05754693,2,1,
8929,富堡,0.5,0.5,0.999999992,3.000000162,3.100000033,
3078,僑威,3.15,1.3,1.45,1.75,2.35,
5520,力泰,3.55,1.85,1.2,1.2,1.75,
6208,日揚,1.98999861,1.7,1.7,1.4,0.8,
8042,金山電,1,0.3,2,2.94191409,3.47028579,
2630,亞航,0.59,1,1,1.25,1.55,
4714,永捷,0.5,0.965126487,1.58094674,0.47454269,0.37164268,
6605,帝寶,1.4,1.5,2.3,2.5,3,
5443,均豪,1,1.55655535,1.3,1.21697615,1.8,
6274,台燿,4.8013887,4.60373477,4.39551842,3.18853027,2.09841906,
5220,萬達光電,3,1.4,3,2.6,2.5,
6532,瑞耘,2,1.59719497,2.3,1.1,0.7939,
3363,上詮,1,0.8,1.5,1,0.50013798,
5251,天鉞電,0,0,0,0.60013598,2.0008025,
8234,新漢,0.8,0.8,0.7,0.6,1.49633567,
3264,欣銓,2,1.3,1.6002154,1.64865415,1.25029354,
6504,南六,12,4.5,5,4.5,4.8,
1906,寶隆,0.4,0.5,0.5,1,1.5,
2206,三陽,1.3,1.01008869,1,1.01815585,1.03381824,
2352,佳世達,1.5,0.75,0.85,1.35,1.32,
1457,宜進實,1.5,1,0.5,1,0.5,
6512,啟發電,0,0,0.47204324,0.46453044,2.27826168,
5488,松普,0,0,1.35,0,0.08,
2547,日勝生,0.62,0.60814114,1,0,0,
5525,順天,0.5,1.3,3,1.2,0.3,
9188,精熙,0.171764,0.09565,0.076114,0.6767,0.140805,
4111,濟生,1,1,0.6,0.8,0.8,
1909,榮成,0.6,0.3,0.5,1.75,1.48946704,
1541,錩泰,3,0,1,1.5,3.3,
1593,祺驊,3.6,3.2,4,3.23861861,2.99949623,
